,datetime,content,title,channels
12,2018-11-21 23:26:00,  哔哩哔哩（BILI）涨近18%。,,"[{'id': '3', 'name': '公司'}]"
13,2018-11-21 23:23:59,  现货黄金一度触及1300关口，日内涨幅达0.69%，现报1229.59美元/盎司，刷新半个月新高。,,"[{'id': '5', 'name': '市场'}]"
14,2018-11-21 23:23:00,【上海金融法院首案落槌 投资公司被判赔东方证券1.2亿元】近日，备受关注的上海金融法院首案已落槌。作为上海金融法院8月20日正式揭牌成立后受理的第1号案件，原告东方证券股份有限公司诉被告北京弘高中太投资有限公司质押式证券回购违约。上海金融法院经审理后判决：弘高中太公司偿还东方证券公司融资款本息、违约金及律师费等合计1.2亿余元，并以出质的28961432股北京弘高创意建筑设计股份有限公司股票承担质押担保责任。（中国基金报）,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
15,2018-11-21 23:21:07,  Liposome首次开盘报6.06美元。,,"[{'id': '3', 'name': '公司'}]"
16,2018-11-21 23:19:16,英国央行行长卡尼：气候变化在2018年所造成的损失可能属于历史上最糟糕的之一。,,"[{'id': '6', 'name': '观点'}]"
17,2018-11-21 23:18:31,现货黄金上涨0.5%，刷新日高至1227.78美元/盎司，较日低反弹7.91美元。现货白银上涨1.5%，报14.534美元/盎司。,,"[{'id': '5', 'name': '市场'}]"
18,2018-11-21 23:17:59,  强生下跌2.4%。,,"[{'id': '3', 'name': '公司'}]"
19,2018-11-21 23:17:10,欧元集团主席：支持欧盟委员会就预算问题对意大利启动制裁程序的行动。,,"[{'id': '6', 'name': '观点'}]"
20,2018-11-21 23:16:26,【券商资管最新排名出炉：华泰证券资管规模锐减2000亿】中国基金业协会公布了今年三季度券商资管月均规模前20名和主动管理资产规模前20名的榜单。从数据来看，前20家券商资管月均总规模达8.9万亿元，其中有18家规模出现不同程度的下滑，最高下滑超2000亿元。作为券商转型的主要出路，主动管理能力至关重要。数据显示，前20家券商主动管理资产月均规模合计为2.98万亿，其中有5家规模较上季度出现上升，最高增加超100亿元。（中国基金报）,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
21,2018-11-21 23:06:05,  亚马逊修复网站问题。,,"[{'id': '3', 'name': '公司'}]"
22,2018-11-21 23:05:25,  哔哩哔哩（BILI）涨幅扩大至15%。,,"[{'id': '3', 'name': '公司'}]"
23,2018-11-21 23:01:32,美国10月谘商会领先指标环比 0.1%，预期 0.1%，前值 0.5%。,,"[{'id': '4', 'name': '数据'}]"
24,2018-11-21 23:00:26,螺纹钢夜盘收涨0.90%，热轧卷收涨1.21%。,,"[{'id': '5', 'name': '市场'}]"
25,2018-11-21 23:00:18,美国10月成屋销售总数年化 522万户，预期 520万户，前值 515万户。,,"[{'id': '4', 'name': '数据'}]"
26,2018-11-21 23:00:10,美国11月密歇根大学消费者信心指数终值 97.5，预期 98.3，初值 98.3。,,"[{'id': '4', 'name': '数据'}]"
27,2018-11-21 22:54:56,  哔哩哔哩涨幅扩大至12%。,,"[{'id': '3', 'name': '公司'}]"
28,2018-11-21 22:52:29,【中证快评：重拳祭出 “任性”停牌已穷途末路】沪深交易所发布的《征求意见稿》，从减少停牌事由、压缩停牌期限、强化信息披露、完善停复牌监管等方面，对上市公司停复牌业务予以重点规范。近年来，市场各方在停复牌的制度原理和功能上也已经形成比较一致的共识，“不停牌”、“少停牌”、“短停牌”的市场共识逐步形成。随着相关政策制度的落地，相信A股也将正式告别“任性”停牌。,,"[{'id': '5', 'name': '市场'}, {'id': '10', 'name': 'A股'}]"
29,2018-11-21 22:52:06,意大利财长Tria：欧盟置评意大利、且不认同意大利预算政策的理由，这令人感到遗憾。,,"[{'id': '6', 'name': '观点'}]"
30,2018-11-21 22:47:56,高盛正被阿布扎比基金IPIC就1MDB事件起诉。,,"[{'id': '3', 'name': '公司'}]"
31,2018-11-21 22:46:22,【吉利汽车诉百度侵犯名誉权】因认为百家号平台的用户发布不实信息损害了自身的商业信誉和商品声誉，浙江吉利控股集团汽车销售有限公司以侵犯名誉权为由，将北京百度网讯科技有限公司诉至法院，要求百度公司停止侵权，赔礼道歉，并披露相关用户信息。日前，北京市海淀区人民法院受理了此案。（经济日报）,,"[{'id': '3', 'name': '公司'}]"
32,2018-11-21 22:44:12,  苹果跌幅收窄至0.5%；盘前，据彭博，苹果最大iPhone组装厂富士康计划大幅削减29亿美元成本。,,"[{'id': '3', 'name': '公司'}]"
33,2018-11-21 22:42:41,商品货币澳元兑美元上涨57点，涨幅超过0.7%，刷新日高至0.7270，较日低反弹67点，追随美国股市高开的表现。,,"[{'id': '5', 'name': '市场'}]"
34,2018-11-21 22:38:37,美国芯片股盘初普涨： 英伟达（NVDA.O）涨2.19%， 博通（AVGO.O）涨1.11%， 美光科技（MU.O）涨2.52%， 高通（QCOM.O）涨1.88%，AMD（AMD.O）涨近4%。,,"[{'id': '3', 'name': '公司'}]"
35,2018-11-21 22:37:27,拼多多开盘涨近4%，第三季度营收同比增长7倍。,,"[{'id': '3', 'name': '公司'}]"
36,2018-11-21 22:37:00,中概股信而富跌超17%。,,"[{'id': '3', 'name': '公司'}]"
37,2018-11-21 22:34:10,意大利副总理Di Maio：意大利与欧盟都“想要同样的事”，那就是降低意大利的债务。,,"[{'id': '6', 'name': '观点'}]"
38,2018-11-21 22:33:16,猎豹移动涨幅逾6%，此前第三季度营收超出预期，并表示出售字节跳动的部分股权。,,"[{'id': '3', 'name': '公司'}]"
39,2018-11-21 22:33:08,趣店开盘涨近10%，此前财报显示第三季度营收同比增长32.9%，董事会批准延长股票回购计划。,,"[{'id': '3', 'name': '公司'}]"
40,2018-11-21 22:32:03,【FAANG五大科技股盘初集体上涨】亚马逊涨近3%，奈飞涨超2%，谷歌母公司Alphabet、苹果、Facebook涨超1%。,,"[{'id': '3', 'name': '公司'}]"
41,2018-11-21 22:31:46,英伟达开盘涨3.5%，此前知名做空机构香椽表示做多英伟达，今日英伟达还与京东、百度、甲骨文达成合作。,,"[{'id': '3', 'name': '公司'}]"
42,2018-11-21 22:31:07,京东开盘涨3.54%，此前京东获全球首个省域无人机物流经营许可证。,,"[{'id': '3', 'name': '公司'}]"
43,2018-11-21 22:30:57,【科技股节前反弹 美股大幅高开】道指涨0.5%，标普500涨0.6%，纳指涨1.1%。美股周四因感恩节休市，周五交易半天。MNI报道称，美联储最早可能在春季暂停加息周期。英国首相摆脱执政危机，欧洲主要股市全线走高。石油大幅反弹，天然气再度暴涨。,,"[{'id': '5', 'name': '市场'}]"
44,2018-11-21 22:30:35,苹果公司开盘涨1.55%，此前苹果最大iPhone组装厂富士康计划大幅削减29亿美元成本。,,"[{'id': '3', 'name': '公司'}]"
45,2018-11-21 22:28:09,沙特外交大臣：重申沙特政府与领导层均未参与谋杀记者Khashoggi。,,"[{'id': '6', 'name': '观点'}]"
46,2018-11-21 22:23:07,"【上市基金新品种——组合债基金拟试点 可参与场内质押式回购 首批试点基金公司已确定】有关方面正推进债券基金创新工作，酝酿推出组合债基金，首批组合债基金将在多家基金公司中试点，试点名单已确定。消息人士透露,组合债基金将从优质债券所组成的债券库中选择投资标的。其最大创新在于,组合债基金未来可参与场内质押式回购。（中国证券报）",,"[{'id': '5', 'name': '市场'}]"
47,2018-11-21 22:21:11,  英伟达盘前涨4.2%。,,"[{'id': '3', 'name': '公司'}]"
48,2018-11-21 22:17:09,【应勇调研民营企业：上海积极鼓励和引导民间资本进入战略性新兴产业】上海市委副书记、市长应勇21日下午走访调研上海市部分民营企业时指出，民营经济作为上海经济社会发展的重要力量，对上海发展的重要性不言而喻。要加快推进本市促进民营经济健康发展“27条”举措落实落地，努力缓解民营企业融资难、融资贵，切实为民营企业降本减负，大力支持民营企业提升核心竞争力。（上证报）,,"[{'id': '1', 'name': '宏观'}]"
49,2018-11-21 22:12:21,  两油短线回落，布伦特原油短线下挫0.4美元，现报63.18美元/桶；WTI原油亦回落0.4美元，现报54.25美元/桶。,,"[{'id': '5', 'name': '市场'}]"
50,2018-11-21 21:56:08,人民日报评“D＆G辱华”：不尊重他人者只会被抛弃,,[]
51,2018-11-21 21:45:39,【农业农村部审议并原则通过《国家质量兴农战略规划》，严抓好农产品质量安全】11月19日，农业农村部部长韩长赋主持召开部常务会议，审议并原则通过《国家质量兴农战略规划（2018-2022年）》，研究部署农产品质量安全工作。此次规划将建立一套与实施质量兴农战略相适应的政策体系、评价体系、工作体系和考核体系。同时加大农产品质量安全标准制修订力度，加快构建农产品质量安全追溯体系，推动修订农产品质量安全法，确保农产品质量安全。（农业科技报）,,"[{'id': '1', 'name': '宏观'}]"
52,2018-11-21 21:40:33,【美国上周首申失业救济数据速评】美国上周首次申请失业救济人数增加3000人至22.4万人，为逾四个月高点，但整体趋势仍表明就业市场持续紧俏。波动性更小的首申失业救济人数四周均值增加2000人至21.85万人。,,"[{'id': '1', 'name': '宏观'}]"
53,2018-11-21 21:39:50,【首届联合国世界地理信息大会达成《莫干山宣言》】首届联合国世界地理信息大会21日在浙江德清落下帷幕，大会达成并发布《莫干山宣言》，提出构建数据和地理信息领域的人类命运共同体，弥合地理空间信息鸿沟。《莫干山宣言》提出，携手努力构建数据和地理信息领域的人类命运共同体，通过促进有效的跨部门、跨学科国际、区域和地方合作及伙伴关系，包括“一带一路”沿线国家，支持国家发展利益，为发展中国家提供技术支持和能力建设，增进政府、学术界、产业界、私营部门和民间社会之间的伙伴关系，弥合地理空间信息鸿沟。（新华社）,,"[{'id': '8', 'name': '其他'}]"
54,2018-11-21 21:39:32,【神思电子：控股股东拟减持不超2.97%股份】神思电子11月21日晚公告，公司控股股东神思科技投资计划未来六个月内，减持不超过490万股，即不超过公司总股本2.97%。此外，股东北京同晟达信拟减持不超240万股，即不超过公司总股本1.455%。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
55,2018-11-21 21:39:01,意大利总理Conte：意大利政府相信预算计划将有助于削减债务。,,"[{'id': '1', 'name': '宏观'}, {'id': '3', 'name': '公司'}]"
56,2018-11-21 21:37:08,【华帝股份：拟1.5亿元至2亿元回购股份】华帝股份11月21日晚披露回购预案，回购总额不低于1.5亿元，不超过2亿元，回购价格不超过11元/股。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
57,2018-11-21 21:34:22,【iPhone谷歌搜索量不到巅峰水平的一半】谷歌趋势上关于苹果iPhone的数据显示，过去10个月的九个月里用户兴趣低于2012年9月峰值的一半。唯一的例外是今年9月苹果举行年度产品发布会，推出最新版iPhone X和Apple Watch Series 4的时候。,,"[{'id': '3', 'name': '公司'}]"
58,2018-11-21 21:32:51,美国经济数据过后，现货黄金小幅走高，美元/日元、10年期美债收益率小幅走低。,,"[{'id': '5', 'name': '市场'}]"
59,2018-11-21 21:31:39,加拿大9月批发销售环比 -0.5%，预期 0.3%，前值 -0.1%。,,"[{'id': '1', 'name': '宏观'}]"
60,2018-11-21 21:30:52,美国10月耐用品订单环比初值 -4.4%，预期 -2.6%，前值 0.7%。美国10月扣除飞机非国防资本耐用品订单环比初值 0%，预期 0.2%，前值 -0.1%。美国10月扣除运输类耐用品订单环比初值 0.1%，预期 0.4%，前值 0%。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
61,2018-11-21 21:30:48,【如意集团：要约收购实施完毕 明日复牌】如意集团11月21日晚间公告，截至11月16日，公司控股股东如意科技本次要约收购期限届满。要约收购期间，最终有2678个账户共计1.22亿股股份接受收购人发出的要约。预受要约股份的数量超过本次预定收购股份数量（3000万股），收购人按照同等比例收购预受要约的股份。本次要约收购股份的过户手续已于11月21日办理完毕。本次要约收购已经实施完毕。公司股票将于11月22日复牌。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
62,2018-11-21 21:30:38,美国11月17日当周首次申请失业救济人数 22.4万人，预期 21.5万人，前值 21.6万人。美国11月10日当周续请失业救济人数 166.8万人，预期 165万人，前值 167.6万人。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
63,2018-11-21 21:30:28,【交通运输部：加快推进大湾区交通运输实现高质量发展】交通运输部部长李小鹏今日主持召开部务会。会议强调，要深刻认识支持粤港澳大湾区交通运输发展的重大意义，加快推进大湾区交通运输实现高质量发展。一是构建互联互通基础设施网络。二是打造高品质出行服务体系。三是建设高效经济的货运物流体系。四是打造更具国际竞争力的世界级港口群、机场群。五是提升交通科技创新能力。各部门要加强统筹协调，编制好基础设施互联互通专项规划，加大政策支持力度，推动各项工作落地落实。,,"[{'id': '2', 'name': '行业'}]"
64,2018-11-21 21:29:58,【萤石价格加速上涨 】据百川资讯监测，十月以来萤石价格持续走高，周三更是大幅跳涨，呈加速上涨态势。分析认为，受环保督查等因素影响，矿山开工率难有提升，萤石粉供给不断减少。随着气温转冷，北方萤石选厂陆续停车，供给将进一步受到影响。预计后市萤石粉涨势望延续，行业公司盈利能力望持续改善。,,"[{'id': '2', 'name': '行业'}, {'id': '5', 'name': '市场'}]"
65,2018-11-21 21:29:34,【我国首套环形核燃料试验件下线，新一代高性能组件研制取得突破】11月20日，由中核集团自主研制、拥有自主知识产权的我国首套全尺寸压水堆环形燃料组件试验件在中核北方核燃料元件有限公司成功下线并通过验收，这标志着中核集团已基本打通压水堆环形燃料组件制造所有关键环节，为环形核燃料组件后续工程化应用提供坚实的基础和保障。,,"[{'id': '8', 'name': '其他'}]"
66,2018-11-21 21:24:22,【泰国推出电子落地签证，大幅缩短游客入境时间】泰国移民局代局长素拉切21日宣布，泰国移民局向包括中国在内的21个国家和地区的游客正式推出电子落地签证，预计将大幅缩短游客在泰国机场办理落地签的时间，为游客提供方便。素拉切说，游客可从入境前30天至入境前24小时申请电子落地签证，目前廊曼机场、素万那普机场、普吉机场都已开通电子落地签通道，清迈机场及甲米机场将在近期开通。（新华社）,,"[{'id': '8', 'name': '其他'}]"
67,2018-11-21 21:23:30,【兴民智通：实控人拟14亿元转让28.01%股份 实控人将变更】兴民智通11月21日晚间公告，公司实控人王志成拟将持有的1.74亿股公司股份（占公司回购后总股本的28.01%）协议转让给盛邦创恒，转让价格为每股8.05元，转让总价为14亿元。本次股份转让后，王志成将持有1.73%公司股份。盛邦创恒将持有28.01%公司股份，盛邦创恒将成为公司的控股股东，其实控人周治将成为公司实控人。盛邦创恒拟于条件成熟时通过利用上市公司平台有效整合资源。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
68,2018-11-21 21:22:10,【美股科技股止跌反弹】FAANG美股盘前全线上涨，Facebook涨1.5%，苹果涨1.3%，亚马逊涨2.6%，奈飞涨3.1%，谷歌母公司Alphabet涨1.2%。,,"[{'id': '5', 'name': '市场'}, {'id': '9', 'name': '焦点'}]"
69,2018-11-21 21:21:39,【马斯克的下一代重型火箭更名“星舟” ，单次可运百人去火星】美国太空探索技术公司创始人埃隆·马斯克宣布，将这家公司正在研发中、未来可能把人类运送到火星的下一代重型运载火箭由“大猎鹰火箭”更名为“星舟”。这一火箭目前仍在开发初期阶段，建造费用预计50亿美元。（新华社）,,"[{'id': '3', 'name': '公司'}]"
70,2018-11-21 21:17:56,【正业科技：控股股东提议年报10转9.5派4.2元】正业科技11月21日晚公告，公司控股股东正业实业提议以截止2018年12月31日的总股本为基数，向全体股东每10股派发现金股利4.2元（含税），同时以资本公积金向全体股东每10股转增9.5股。,,"[{'id': '3', 'name': '公司'}, {'id': '9', 'name': '焦点'}, {'id': '10', 'name': 'A股'}]"
71,2018-11-21 21:15:53,【江苏国信：子公司明年计划不超8亿元“炒股”】江苏国信11月21日晚公告，为了提高自有资金的盈利能力，结合证券市场运行状况，公司之控股子公司江苏信托拟运用自有资金投资证券市场，计划2019年度内投资额度不超过总计8亿元，并可在合适的条件下处置。此外，江苏信托为提高资金使用效率，提升存量资金收益，在保障日常运营资金需求的前提下，2019年度拟使用自有资金购买信托计划，额度不超过70亿元。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
72,2018-11-21 21:15:49,英国首相言人：首相已表明她在达成脱欧协议，并在明年3月带领英国脱欧的决心。与北爱尔兰民主统一党（DUP）达成的协议依旧存在，并不认为协议状态出现了任何变化。,,"[{'id': '1', 'name': '宏观'}]"
73,2018-11-21 21:14:29,【英可瑞：部分应收票据存在无法承兑风险】英可瑞11月21日晚间公告，截止公告日，漳州铭恒不能按期履行向公司支付到期票据2385.34万元的付款义务，虽然担保人对履约提供了相应的担保，公司预计对漳州安顺的应收票据2385.34万元仍然存在无法全额承兑的风险。截至11月21日，公司对漳州安顺的应收金额为4933.88万元，其中，逾期应收票据金额为2385.34万元。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
74,2018-11-21 21:13:26,深交所：当证券市场交易出现极端异常情况，本所可以根据中国证监会的决定或市场实际情况，暂停办理上市公司停牌申请，维护市场交易的连续性和流动性，保护投资者的交易权。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
75,2018-11-21 21:10:58,宜家集团周三表示，计划未来几年减少7500个岗位，主要为行政人员。,,"[{'id': '3', 'name': '公司'}]"
76,2018-11-21 21:03:05,深交所就《深圳证券交易所上市公司停复牌业务信息披露指引（征求意见稿）》公开征求意见。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
77,2018-11-21 21:01:19,【易尚展示：终止重大资产重组事项】易尚展示11月21日晚公告，公司原本拟以发行股份及支付现金方式收购广州建通测绘地理信息技术股份有限公司80%股权。因本次交易双方无法就重组事项相关核心条款达成一致意见，未能签署正式协议，经双方友好协商，决定终止本次重大资产重组事项。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
78,2018-11-21 21:01:02,波罗的海干散货指数涨0.5%，报1008点。,,"[{'id': '2', 'name': '行业'}]"
79,2018-11-21 21:00:29,商品期货夜盘开盘多数上涨，铁矿涨2.35%、焦煤、焦炭、热卷涨幅居前，甲醇、原油、沪镍飘绿。,,"[{'id': '5', 'name': '市场'}]"
80,2018-11-21 20:59:42,小天鹅A：控股股东美的集团提议，在换股吸收合并正式实施前公司进行一次现金分红，每股分红4元，合计总金额约为25.3亿元。,,"[{'id': '3', 'name': '公司'}, {'id': '9', 'name': '焦点'}, {'id': '10', 'name': 'A股'}]"
81,2018-11-21 20:59:25,【机器人：拟1亿元参设科技创新基金 投向人工智能等领域】机器人11月21日晚公告，公司拟以自有或自筹资金1亿元作为有限合伙人，与参股公司新松投资和沈阳科技风投合作投资设立沈阳新松机器人科技创新投资合伙企业（有限合伙），此次拟设立的投资基金投资方向面向人工智能等领域。,,"[{'id': '3', 'name': '公司'}, {'id': '10', 'name': 'A股'}]"
82,2018-11-21 20:58:25,【工商银行：马尼拉分行在菲律宾正式开业】工商银行11月21日晚间公告，马尼拉分行于11月21日在菲律宾正式开业。马尼拉分行的设立，有益于公司在东南亚市场跨境金融服务能力的提升，在“一带一路”沿线国家和地区的网络布局将进一步得到完善。截至披露日，工行在47个国家和地区建立了426个机构，服务网络覆盖六大洲和全球重要国际金融中心。其中，在“一带一路”沿线21个国家和地区拥有131家分支机构。,,"[{'id': '3', 'name': '公司'}]"
83,2018-11-21 20:57:20,【美股盘前：传美联储将提前结束加息周期 美期指反弹】道指期货涨0.5%，标普500期指涨0.6%，纳指期货涨0.9%。MNI报道称，美联储可能最早在春季暂停加息周期。消息传出后，美元短线急挫。周四是感恩节，美国金融市场休市，周五也只交易半天。,,"[{'id': '5', 'name': '市场'}]"
84,2018-11-21 20:55:32,【上交所：停牌申请不符合指引规定的可拒绝办理】上交所在开展停复牌监管上主要包括4项内容：一是上交所依据本指引及其他相关业务规则对上市公司的停牌申请予以办理，停牌申请不符合规定事由或本指引规定的条件和要求的，上交所可以拒绝办理。二是对于发现停复牌事由不符合实际情况和规定的，事中可以要求公司复牌；公司未申请复牌的，可以强制复牌。三是证券市场交易出现极端异常情况的，上交所可以根据中国证监会的决定或市场实际情况，暂停办理上市公司停牌申请。四是指引规定了停复牌公示制度，公司股票累计停牌时间过长或停牌过于频繁的，交易所可以视情况对其停复牌情况进行公示。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
85,2018-11-21 20:55:05,鞍钢股份澄清：截至目前，本公司控股股东和本公司均未得到来自于任何政府部门有关合并传闻的书面或口头的信息，均未与宝武集团就此类问题进行过任何的商谈或意思表示。,,"[{'id': '3', 'name': '公司'}, {'id': '9', 'name': '焦点'}]"
86,2018-11-21 20:54:16,上海临港地区今天举行重大项目签约，中国铝业集团、中国交通通信信息中心、中国科学院工程热物理研究所等11家大型央企、科研院所与行业领军企业正式落地临港。,,"[{'id': '3', 'name': '公司'}]"
87,2018-11-21 20:51:47,特朗普发推文感谢沙特，敦促其继续降低油价。,,"[{'id': '8', 'name': '其他'}]"
88,2018-11-21 20:48:05,上交所：《停复牌指引（征求意见稿）》原则上取消重组信息披露审核及问询回复的停牌。上市公司筹划重组申请停牌的，应当在停牌时即披露交易标的、交易方式及对手方。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
89,2018-11-21 20:45:40,上交所：仅允许以股份方式支付交易对价的重组停牌。公司筹划涉及发行股份的重组申请停牌的，停牌时间不超过10个交易日。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
90,2018-11-21 20:45:39,上交所：仅允许以股份方式支付交易对价的重组停牌。公司筹划涉及发行股份的重组申请停牌的，停牌时间不超过10个交易日。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
91,2018-11-21 20:44:00,上海证券交易所发布上市公司筹划重大事项停复牌业务指引（征求意见稿）。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
92,2018-11-21 20:39:56,日产汽车董事会同意在明年9月讨论与雷诺的联盟。,,"[{'id': '3', 'name': '公司'}]"
93,2018-11-21 20:36:55,【2022年雄安新区将形成设计服务业产业集群】河北省工业和信息化厅21日透露，河北省工业设计发展工作领导小组日前印发《河北省工业设计发展专项规划》，提出将推动雄安新区到2022年形成设计服务业产业集群。按照《规划》要求，2022年，雄安新区等三个设计服务业聚集区将聚集工业设计机构和企业超过300家，初步建成5家具有一定规模和水平创意设计小镇。（中国新闻网）,,"[{'id': '8', 'name': '其他'}]"
94,2018-11-21 20:36:24,英国首相特蕾莎·梅：希望与欧盟达成密切的贸易、安全和国防关系。,,"[{'id': '1', 'name': '宏观'}]"
95,2018-11-21 20:35:40,欧盟经济事务专员Moscovici：相信当前的脱欧协议是有可能达成的最佳协议。,,"[{'id': '1', 'name': '宏观'}]"
96,2018-11-21 20:33:57,日产汽车董事会据称在是否解除GHOSN职务的问题上存在分歧。,,"[{'id': '3', 'name': '公司'}]"
97,2018-11-21 20:33:36,WTO审议小组将对特朗普政府的钢铝关税展开调查。,,"[{'id': '1', 'name': '宏观'}]"
98,2018-11-21 20:31:23,【深圳成立两只上市公司纾困私募基金 总规模为170亿元】为了促进深圳上市公司稳健发展，按照市国资委的战略部署，此次投控公司设立了投控共赢股权投资基金和投控中证信赢股权投资基金。投控共赢股权投资基金由投控公司联合建信信托、鲲鹏资本、国信证券发起设立，总规模为150亿元。投控中证信赢股权投资基金由投控公司联合中信证券发起设立，总规模为20亿元。这两只基金是全国首批按照市场化原则设立的上市公司纾困私募基金。,,"[{'id': '1', 'name': '宏观'}, {'id': '9', 'name': '焦点'}]"
99,2018-11-21 20:30:43,【临港地区重大签约 全面推进浦东“四高”】为全面推进浦东“四高”战略实施，加快打造经济高质量发展新引擎，11月21日，临港地区举行重大项目签约，中国铝业集团、中国交通通信信息中心、中国科学院工程热物理研究所等11家大型央企、科研院所与行业领军企业落地。此外，特斯拉上海超级工厂在临港地区高效落地。项目的顺利推进，也有利于产业链上企业岱美股份(603730)、保隆科技(603197)等。（中证资讯）,,"[{'id': '3', 'name': '公司'}]"
100,2018-11-21 20:26:37,哔哩哔哩（B站）美股盘前下跌3.7%，此前财报显示第三季度亏损扩大。,,"[{'id': '3', 'name': '公司'}]"
101,2018-11-21 20:21:42,【新华微评：治理“假整改”背后的“污染源”】新华视点微博发布评论称，表面上积极整改，暗中却对环境违法项目大开绿灯，甚至编造文件应付检查……辽宁绥中县在环保督察中被曝光的一系列乱象触目惊心。一个地方治污不力，往往隐藏着不作为、不敢为的深层“污染源”。经济发展不能以牺牲环境为代价，政府部门更是青山绿水的守护者，绝不能成为环境违法行为的“保护伞”。治理生态污染，也要向深层的“污染源”开刀，让弄虚作假者付出代价，对阳奉阴违者决不姑息，真正使高压线通上电。,,"[{'id': '1', 'name': '宏观'}]"
102,2018-11-21 20:19:04,英国工党领袖科尔宾：议会将会否决英国首相特雷莎·梅的脱欧协议。,,"[{'id': '1', 'name': '宏观'}]"
103,2018-11-21 20:13:22,美股科技股盘前上涨，奈飞涨1.9%，亚马逊涨1.3%，Facebook涨0.9%，Alphabet涨0.3%。,,"[{'id': '5', 'name': '市场'}]"
104,2018-11-21 20:12:24,英国首相特雷莎·梅：如果议会拒绝了脱欧协议，那么会有无协议脱欧的风险。,,"[{'id': '1', 'name': '宏观'}]"
